model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
LightGBM,conditional,model_specific,global,12,341,341,341,341,1.0,14.18691732037452,22.937798102102345,49.76051374786616,0.31411848621827876,0.33840535661201987,0.462462159487674,-1.9326044457399252,-0.0427906055449201,341.0,direct,1,development
LightGBM,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,14.049346903771083,18.595173768569374,49.61782484188307,0.30379549550073387,0.337717791615789,0.4421549218214194,-2.0373705162619684,-0.021791507363747697,28.416666666666668,direct,1,development
DynamicRidge,conditional,model_specific,global,12,341,341,341,341,1.0,21.33516371494864,62.946501476969274,90.50184612086247,0.47239080753181517,0.36674150005277956,0.5522657723647585,10.508734401020487,0.2326782956137904,341.0,direct,1,development
DynamicRidge,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,20.96391660874419,38.21481602195346,93.6157776975548,0.4384425094354453,0.36514965169203933,0.5264538660692643,10.212299281544636,0.1979441172553317,28.416666666666668,direct,1,development
SeasonalNaive,conditional,model_specific,global,12,341,341,341,341,1.0,24.95014662756598,40.15395591910066,151.26328433906448,0.5524316602817999,0.5234801509276577,0.7511887331329598,5.788856304985337,0.12817349522758262,341.0,direct,1,development
SeasonalNaive,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,24.662776631627207,33.85964280291435,146.5491045756177,0.6224499851680034,0.5220090350854296,0.6971910045359525,5.416386432851951,0.2667291878320264,28.416666666666668,direct,1,development
MovingAvg28,conditional,model_specific,global,12,341,341,341,341,1.0,21.306475247779595,34.4458558720674,100.7468875702624,0.47175560414861645,0.46398810585545114,0.6423386854418043,2.1762890607911642,0.048186128805258556,341.0,direct,1,development
MovingAvg28,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,21.08695680079764,27.077107865731616,98.0183110617373,0.5066734025026917,0.46301279397707024,0.5984391705337546,1.7888748591168724,0.19616832590632813,28.416666666666668,direct,1,development
NeuralNet,realized,common,global,12,347,347,314,314,0.9048991354466859,18.959370752808393,32.54712497979083,52.2081747588212,0.3373132991320662,0.3781730889970541,0.49598311857036087,-4.778873379822749,-0.08502273450418399,314.0,direct,2,development
NeuralNet,realized,common,mean_fold,12,347,347,314,314,0.9048991354466859,18.103019153489825,23.88174346345616,50.31019870742091,0.3645022836646452,0.36861330344468546,0.4498395960098898,-4.210337659410009,0.08886010666628275,26.166666666666668,direct,2,development
XGBoost,realized,common,global,12,347,347,347,314,1.0,16.048338718854698,28.69821691363377,37.94196609117978,0.28552203284720806,0.33534860996842697,0.4027903735148344,-7.415165610753807,-0.1319260015738396,314.0,direct,2,development
XGBoost,realized,common,mean_fold,12,347,347,347,314,1.0,15.470239608646125,20.43582401437056,37.578381117752606,0.3013988721952202,0.33304322601598735,0.39067435078012697,-6.879614958539206,-0.01065967380343316,26.166666666666668,direct,2,development
LightGBM,realized,common,global,12,347,347,347,314,1.0,16.43348338345813,30.067404010605504,40.92129219959535,0.2923742864981502,0.33245039564412115,0.41908501312722557,-6.565534304661356,-0.1168098913062307,314.0,direct,2,development
LightGBM,realized,common,mean_fold,12,347,347,347,314,1.0,15.825773061802069,21.490528200304396,39.92879665105028,0.31192277569463017,0.32845599657612684,0.39721820263803737,-6.167212677874013,0.010376425170801633,26.166666666666668,direct,2,development
DynamicRidge,realized,common,global,12,347,347,344,314,0.9913544668587896,23.80241999428743,59.09350138787601,54.79344125321,0.42347781053919503,0.3812541930154535,0.5140796490291478,6.768819269101331,0.12042661060104357,314.0,direct,2,development
DynamicRidge,realized,common,mean_fold,12,347,347,344,314,0.9913544668587896,23.01786150695305,35.00811044731744,52.636016174358424,0.38974590777982193,0.37279673951173425,0.47299054137514823,6.888249386052615,0.11968117715043879,26.166666666666668,direct,2,development
