model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
NeuralNet,realized,model_specific,global,12,346,346,346,346,1.0,11.409012275315513,17.322991985635028,52.8335727278918,0.2562990681248648,0.3167060280515613,0.44277801842554,2.44391485724466,0.05490160632428596,346.0,direct,1,development
NeuralNet,realized,model_specific,mean_fold,12,346,346,346,346,1.0,11.340815606182545,14.936341157755967,52.91419200321085,0.2599865778480841,0.3184483428373885,0.42746746512666317,2.3531690420134352,0.06599007135978903,28.833333333333332,direct,1,development
XGBoost,realized,model_specific,global,12,346,346,346,346,1.0,12.048798140935126,19.306174111715098,44.967687198761574,0.2706716112688971,0.3205433463651974,0.4414670929493164,0.4772038433937668,0.01072020061123512,346.0,direct,1,development
XGBoost,realized,model_specific,mean_fold,12,346,346,346,346,1.0,11.888330223378487,16.4710837226983,45.37690401665656,0.2717092984803913,0.3201746718816494,0.42642640894549966,0.4777176070045365,0.009901911650957903,28.833333333333332,direct,1,development
LightGBM,realized,model_specific,global,12,346,346,346,346,1.0,11.585582213422466,17.94889473728659,47.48098580720631,0.2602656438023746,0.31257506587141193,0.4395393576381957,1.2555348781836515,0.02820510763871857,346.0,direct,1,development
LightGBM,realized,model_specific,mean_fold,12,346,346,346,346,1.0,11.454465602200921,15.404893588116863,47.99461459579621,0.25841606757167984,0.312916208053676,0.4213603082296469,1.2215297216118197,0.02394588094022858,28.833333333333332,direct,1,development
DynamicRidge,realized,model_specific,global,12,346,346,346,346,1.0,25.01338533652311,86.47203519972716,171.98805991016934,0.5619160710581091,0.38556842694125215,0.6557576936204711,14.98070777840697,0.3365358324457091,346.0,direct,1,development
DynamicRidge,realized,model_specific,mean_fold,12,346,346,346,346,1.0,24.650408934609448,48.67852976203827,174.33590181239083,0.47416008465097415,0.3853397223130442,0.5943550792931297,14.70391708202771,0.24911996281403495,28.833333333333332,direct,1,development
SeasonalNaive,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,24.838678328474252,40.03919767150894,153.78264322532846,0.5531532701380774,0.5306318701484747,0.7596644478528272,5.789115646258503,0.1289226507379994,343.0,direct,1,development
SeasonalNaive,realized,model_specific,mean_fold,12,346,346,343,343,0.9913294797687862,24.601861785156803,33.79858454907092,149.83417602033248,0.6238826445863755,0.5301701502100212,0.7092903608488074,5.382202355612318,0.2681843184872154,28.583333333333332,direct,1,development
MovingAvg28,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,21.2068880610711,34.34692854024558,102.62432421840823,0.4722738998147895,0.470612081896916,0.6502147320336703,2.188248149225458,0.048731925411266856,343.0,direct,1,development
MovingAvg28,realized,model_specific,mean_fold,12,346,346,343,343,0.9913294797687862,21.04100019606537,27.0367571043522,100.36336884697738,0.507582546197804,0.4705479493350249,0.6088003362940514,1.79731161487096,0.19708998415944903,28.583333333333332,direct,1,development
NeuralNet,conditional,common,global,12,341,341,341,341,1.0,11.48991045019027,17.415502352040516,44.969319030563184,0.2544029260122643,0.29676240162507306,0.39328398821365473,2.3933599907987304,0.052992387303575555,341.0,direct,1,development
NeuralNet,conditional,common,mean_fold,12,341,341,341,341,1.0,11.410410550786011,15.002619964673919,44.628697909466645,0.25785903988391046,0.29730199656171463,0.3809299595528457,2.2254662584876415,0.06383344192087415,28.416666666666668,direct,1,development
XGBoost,conditional,common,global,12,341,341,341,341,1.0,12.115692950064137,19.413472586897505,34.64965891965743,0.2682586387878625,0.30165913770634395,0.3716825806349055,0.37442718188434054,0.008290349264499716,341.0,direct,1,development
